DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.00-4.00,ROOM7,4.00-5.00,5.00-6.00
MON(1),CSE-28,---,X,C25-B-108,X,COA,C25-B-206,OS,C25-B-206,DM,OOPJ,---,X,---,X,C25-B-214(L),DBMS(L),DBMS(L)
TUE(0),CSE-28,C25-B-113,DBMS,C25-B-113,COA,DM,C25-A-007,OOPJ,C25-A-007,ED|IOC|OB,X,---,X,---,X,---,X,X
WED(0),CSE-28,C25-A-309,DBMS,C25-B-114(L),OS(L),OS(L),C25-B-213,COA,C25-B-213,DM,X,---,X,---,X,---,X,X
THU(0),CSE-28,---,X,C25-B-213,DM,OOPJ,C25-B-213,OS,C25-B-213,ED|IOC|OB,X,---,X,C25-A-212(L),VT(L),C25-A-212(L),VT(L),X
FRI(1),CSE-28,---,X,C25-B-020,X,COA,C25-B-020,OS,C25-B-020,ED|IOC|OB,X,---,X,C25-A-011,DBMS,C25-A-112(L),OOPJ(L),OOPJ(L)
,,,,,,,,,,,,,,,,,,
