THU,CSE-6,---,X,C25-A-210,CC|SPM|NLP|CV,ML,C25-A-011,UHV,C25-A-011,AI,X,---,X,---,X,---,X,X
FRI,CSE-6,---,X,C25-A-209,HSE,AI,C25-A-011,CC|SPM|NLP|CV,C25-A-011,ML,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-7,---,X,C25-A-209,ML,AI,C25-A-209,UHV,C25-A-209,CC|SPM|NLP|CV,X,---,X,---,X,---,X,X
TUE,CSE-7,C25-A-008,ML,C25-A-103(L),AI(L),AI(L),C25-A-106,UHV,C25-A-106,HSE,X,---,X,---,X,---,X,X
WED,CSE-7,---,X,C25-A-211,CC|SPM|NLP|CV,ML,C25-A-011,AI,C25-A-011,HSE,X,---,X,---,X,---,X,X
THU,CSE-7,---,X,C25-A-211,CC|SPM|NLP|CV,AI,C25-B-003(L),AD,C25-B-003(L),AD(L),AD(L),---,X,---,X,---,X,X
FRI,CSE-7,---,X,C25-A-210,HSE,ML,C25-B-209,UHV,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-8,---,X,C25-A-210,AI,ML,C25-A-210,CC|SPM|NLP|CV,C25-A-210,UHV,X,---,X,---,X,---,X,X
TUE,CSE-8,---,X,C25-A-210,HSE,ML,C25-A-210,CC|SPM|NLP|CV,C25-A-210,AI,X,---,X,---,X,---,X,X
WED,CSE-8,C25-A-113,ML,C25-A-102(L),AI(L),AI(L),C25-A-101,AI,C25-A-101,HSE,X,---,X,---,X,---,X,X
THU,CSE-8,---,X,C25-A-213,ML,CC|SPM|NLP|CV,C25-B-209,UHV,---,X,X,---,X,---,X,---,X,X
FRI,CSE-8,---,X,C25-A-211,HSE,UHV,C25-A-102(L),AD,C25-A-102(L),AD(L),AD(L),---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-9,C25-A-104(L),AD,C25-A-104(L),AD(L),AD(L),C25-B-108,UHV,---,X,X,---,X,---,X,---,X,X
TUE,CSE-9,---,X,C25-A-211,ML,CC|SPM|NLP|CV,C25-A-108,UHV,C25-A-108,AI,X,---,X,---,X,---,X,X
WED,CSE-9,C25-A-213,ML,C25-A-213,CC|SPM|NLP|CV,AI,---,HSE,---,X,X,---,X,---,X,---,X,X
THU,CSE-9,---,X,C25-A-301,HSE,CC|SPM|NLP|CV,C25-B-210,ML,C25-A-103(L),AI(L),AI(L),---,X,---,X,---,X,X
FRI,CSE-9,---,X,C25-A-213,HSE,ML,C25-A-101,UHV,C25-A-101,AI,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-10,---,X,C25-A-211,UHV,CC|SPM|NLP|CV,C25-A-211,ML,---,X,X,---,X,---,X,---,X,X
TUE,CSE-10,---,X,C25-A-213,HSE,CC|SPM|NLP|CV,C25-A-102(L),AD,C25-A-102(L),AD(L),AD(L),---,X,---,X,---,X,X
