DAY,Section(DE),ROOM1,8-9,ROOM2,9-10,ROOM3,10-11,ROOM4,11-12,ROOM5,12-1,ROOM6,1-2,ROOM7,3-4,ROOM8,4-5,ROOM9,5-6
MON,CI_CS-7,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-8,---,X,---,X,---,X,---,X,C25-A-008,CI(DE),---,X,---,X,---,X,---,X
MON,CI_CS-9,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-10,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-1,---,X,---,X,---,X,---,X,C25-A-208,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-3,---,X,---,X,---,X,---,X,C25-A-209,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-5,---,X,---,X,---,X,---,X,C25-A-210,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-6,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-7,---,X,---,X,---,X,---,X,C25-A-211,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-8,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-9,---,X,---,X,---,X,---,X,C25-A-213,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-10,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-11,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-12,---,X,---,X,---,X,---,X,C25-A-301,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-13,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-14,---,X,---,X,---,X,---,X,C25-A-307,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-15,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-16,---,X,---,X,---,X,---,X,C25-A-308,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-17,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-18,---,X,---,X,---,X,---,X,C25-A-009,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-19,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-20,---,X,---,X,---,X,---,X,C25-A-010,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-21,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-22,---,X,---,X,---,X,---,X,C25-A-011,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-23,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-24,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-25,---,X,---,X,---,X,---,X,C25-A-101,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-26,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-27,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-28,---,X,---,X,---,X,---,X,C25-A-106,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-29,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-30,---,X,---,X,---,X,---,X,C25-A-107,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-31,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-32,---,X,---,X,---,X,---,X,C25-A-108,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-33,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-34,---,X,---,X,---,X,---,X,C25-A-109,DMDW(DE),---,X,---,X,---,X,---,X
MON,DMDW_CS-35,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,IP_CS-1,---,X,---,X,---,X,---,X,C25-A-110,IP(DE),---,X,---,X,---,X,---,X
MON,IP_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,IP_CS-3,---,X,---,X,---,X,---,X,C25-A-111,IP(DE),---,X,---,X,---,X,---,X
MON,AI_IT-1,---,X,---,X,---,X,---,X,---,X,C25-A-307,AI(DE),---,X,---,X,---,X
