TUE,CSE-7,---,X,C25-A-306,EE,DAA,C25-A-306,SE,C25-A-306,CN,X,---,X,C25-A-202(L),DAA(L),C25-A-202(L),DAA(L),X
WED,CSE-7,---,X,C25-A-106,CN,SE,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-7,C25-A-309,DAA,C25-A-003(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-7,C25-A-011,SE,C25-A-011,DAA,EE,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-8,C25-A-011,CN,C25-A-011,EE,DAA,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-8,---,X,C25-A-307,X,CN,C25-A-307,DAA,C25-A-307,SE,X,---,X,C25-A-203(L),DAA(L),C25-A-203(L),DAA(L),X
WED,CSE-8,C25-A-107,EE,C25-A-107,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-8,C25-A-106,DAA,C25-A-106,SE,EE,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-8,C25-A-107,SE,C25-A-102(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-9,C25-A-114,DAA,C25-A-103(L),CN(L),CN(L),---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-9,---,X,C25-B-107,X,EE,C25-B-107,DAA,C25-B-107,SE,X,---,X,C25-A-204(L),DAA(L),C25-A-204(L),DAA(L),X
WED,CSE-9,C25-A-108,EE,C25-A-108,SE,CN,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-9,C25-A-107,CN,C25-A-107,EE,SE,---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-9,C25-A-101,DAA,C25-A-101,CN,SE,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
MON,CSE-10,C25-A-101,EE,C25-A-101,DAA,SE,---,X,---,X,X,---,X,---,X,---,X,X
TUE,CSE-10,---,X,C25-B-108,DAA,CN,C25-B-108,SE,---,X,X,---,X,C25-A-212(L),CN(L),C25-A-212(L),CN(L),X
WED,CSE-10,C25-A-109,SE,C25-A-109,EE,DAA,---,X,---,X,X,---,X,---,X,---,X,X
THU,CSE-10,C25-B-310,CN,C25-B-314(L),DAA(L),DAA(L),---,X,---,X,X,---,X,---,X,---,X,X
FRI,CSE-10,C25-A-106,SE,C25-A-106,EE,CN,---,X,---,X,X,---,X,---,X,---,X,X
,,,,,,,,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,2-3,ROOM6,3.15-4.15,ROOM7,4.15-5.15,5.15-6.15
