Roll Number,Section
2306001,BD_IT-01
2306002,BD_IT-01
2306003,BD_IT-01
2306004,BD_IT-01
2306007,BD_IT-01
2306013,BD_IT-01
2306029,BD_IT-01
2306036,BD_IT-01
2306040,BD_IT-01
2306048,BD_IT-01
2306054,BD_IT-01
2306061,BD_IT-01
2306064,BD_IT-01
2306069,BD_IT-01
2306074,BD_IT-01
2306078,BD_IT-01
2306079,BD_IT-01
2306081,BD_IT-01
2306083,BD_IT-01
2306084,BD_IT-01
2306089,BD_IT-01
2306095,BD_IT-01
2306096,BD_IT-01
2306099,BD_IT-01
2306111,BD_IT-01
2306114,BD_IT-01
2306118,BD_IT-01
2306124,BD_IT-01
2306125,BD_IT-01
2306140,BD_IT-01
2306144,BD_IT-01
2306152,BD_IT-01
2306164,BD_IT-01
2306176,BD_IT-01
2306177,BD_IT-01
2306185,BD_IT-01
2306205,BD_IT-01
2306216,BD_IT-01
2306218,BD_IT-01
2306219,BD_IT-01
2306222,BD_IT-01
2306225,BD_IT-01
2306229,BD_IT-01
2306233,BD_IT-01
2306234,BD_IT-01
2306235,BD_IT-01
2306242,BD_IT-01
2306247,BD_IT-01
2306256,BD_IT-01
2306262,BD_IT-01
2306265,BD_IT-01
2306266,BD_IT-01
2306268,BD_IT-01
2306272,BD_IT-01
2306278,BD_IT-01
2306290,BD_IT-01
2306293,BD_IT-01
2306298,BD_IT-01
2306300,BD_IT-01
2306304,BD_IT-01
2306305,BD_IT-01
2306312,BD_IT-01
2306318,BD_IT-01
2306320,BD_IT-01
2306327,BD_IT-01
2306331,BD_IT-01
2306337,BD_IT-01
2306345,BD_IT-01
2306351,BD_IT-01
2306352,BD_IT-01
2306361,BD_IT-01
2306370,BD_IT-01
2306376,BD_IT-01
2306378,BD_IT-01
2306392,BD_IT-01
2306012,BD_IT-02
2306014,BD_IT-02
2306015,BD_IT-02
2306021,BD_IT-02
2306023,BD_IT-02
2306047,BD_IT-02
2306049,BD_IT-02
2306050,BD_IT-02
2306052,BD_IT-02
2306060,BD_IT-02
2306067,BD_IT-02
2306070,BD_IT-02
2306071,BD_IT-02
2306082,BD_IT-02
2306100,BD_IT-02
2306102,BD_IT-02
2306103,BD_IT-02
2306105,BD_IT-02
2306108,BD_IT-02
2306120,BD_IT-02
2306126,BD_IT-02
2306133,BD_IT-02
2306135,BD_IT-02
2306137,BD_IT-02
2306143,BD_IT-02
2306147,BD_IT-02
2306148,BD_IT-02
2306149,BD_IT-02
2306154,BD_IT-02
2306155,BD_IT-02
2306160,BD_IT-02
2306166,BD_IT-02
2306168,BD_IT-02
2306173,BD_IT-02
2306181,BD_IT-02
2306184,BD_IT-02
2306188,BD_IT-02
2306195,BD_IT-02
2306198,BD_IT-02
2306199,BD_IT-02
2306203,BD_IT-02
2306212,BD_IT-02
2306213,BD_IT-02
2306217,BD_IT-02
2306227,BD_IT-02
2306230,BD_IT-02
2306241,BD_IT-02
2306244,BD_IT-02
2306245,BD_IT-02
2306260,BD_IT-02
2306261,BD_IT-02
2306282,BD_IT-02
2306295,BD_IT-02
2306314,BD_IT-02
2306321,BD_IT-02
2306322,BD_IT-02
2306323,BD_IT-02
2306339,BD_IT-02
2306341,BD_IT-02
2306347,BD_IT-02
2306348,BD_IT-02
2306362,BD_IT-02
2306363,BD_IT-02
2306364,BD_IT-02
2306388,BD_IT-02
2306391,BD_IT-02
2306398,BD_IT-02
2306399,BD_IT-02
2306400,BD_IT-02
2306402,BD_IT-02
2306404,BD_IT-02
2306405,BD_IT-02
2306406,BD_IT-02
2306407,BD_IT-02
2406602,BD_IT-02
2306006,BD_IT-03
2306009,BD_IT-03
2306018,BD_IT-03
2306031,BD_IT-03
2306033,BD_IT-03
2306042,BD_IT-03
2306045,BD_IT-03
2306053,BD_IT-03
2306056,BD_IT-03
2306059,BD_IT-03
2306062,BD_IT-03
2306063,BD_IT-03
2306068,BD_IT-03
2306076,BD_IT-03
2306080,BD_IT-03
2306086,BD_IT-03
2306088,BD_IT-03
2306090,BD_IT-03
2306093,BD_IT-03
2306101,BD_IT-03
2306104,BD_IT-03
2306107,BD_IT-03
2306112,BD_IT-03
2306116,BD_IT-03
2306119,BD_IT-03
2306122,BD_IT-03
2306130,BD_IT-03
2306138,BD_IT-03
2306142,BD_IT-03
2306146,BD_IT-03
2306151,BD_IT-03
2306162,BD_IT-03
2306165,BD_IT-03
2306175,BD_IT-03
2306178,BD_IT-03
2306179,BD_IT-03
2306197,BD_IT-03
2306201,BD_IT-03
2306209,BD_IT-03
2306214,BD_IT-03
2306215,BD_IT-03
2306221,BD_IT-03
2306224,BD_IT-03
2306228,BD_IT-03
2306232,BD_IT-03
2306237,BD_IT-03
2306238,BD_IT-03
2306239,BD_IT-03
2306251,BD_IT-03
2306263,BD_IT-03
2306264,BD_IT-03
2306271,BD_IT-03
2306279,BD_IT-03
2306283,BD_IT-03
2306306,BD_IT-03
2306316,BD_IT-03
2306332,BD_IT-03
2306334,BD_IT-03
2306336,BD_IT-03
2306338,BD_IT-03
2306340,BD_IT-03
2306342,BD_IT-03
2306343,BD_IT-03
2306349,BD_IT-03
2306350,BD_IT-03
2306353,BD_IT-03
2306356,BD_IT-03
2306357,BD_IT-03
2306359,BD_IT-03
2306372,BD_IT-03
2306374,BD_IT-03
2306390,BD_IT-03
2306393,BD_IT-03
2306395,BD_IT-03
2306401,BD_IT-03
2306008,BD_IT-04
2306010,BD_IT-04
2306044,BD_IT-04
2306046,BD_IT-04
2306065,BD_IT-04
2306075,BD_IT-04
2306085,BD_IT-04
2306087,BD_IT-04
2306091,BD_IT-04
2306092,BD_IT-04
2306097,BD_IT-04
2306106,BD_IT-04
2306109,BD_IT-04
2306110,BD_IT-04
2306113,BD_IT-04
2306117,BD_IT-04
2306121,BD_IT-04
2306123,BD_IT-04
2306127,BD_IT-04
2306129,BD_IT-04
2306134,BD_IT-04
2306141,BD_IT-04
2306145,BD_IT-04
2306161,BD_IT-04
2306174,BD_IT-04
2306182,BD_IT-04
2306186,BD_IT-04
2306189,BD_IT-04
2306194,BD_IT-04
2306196,BD_IT-04
2306200,BD_IT-04
2306204,BD_IT-04
2306206,BD_IT-04
2306211,BD_IT-04
2306220,BD_IT-04
2306236,BD_IT-04
2306243,BD_IT-04
2306249,BD_IT-04
2306250,BD_IT-04
2306253,BD_IT-04
2306257,BD_IT-04
2306258,BD_IT-04
2306267,BD_IT-04
2306269,BD_IT-04
2306270,BD_IT-04
2306276,BD_IT-04
2306277,BD_IT-04
2306281,BD_IT-04
2306288,BD_IT-04
2306289,BD_IT-04
2306291,BD_IT-04
2306292,BD_IT-04
2306301,BD_IT-04
2306302,BD_IT-04
2306307,BD_IT-04
2306310,BD_IT-04
2306313,BD_IT-04
2306315,BD_IT-04
2306317,BD_IT-04
2306324,BD_IT-04
2306326,BD_IT-04
2306328,BD_IT-04
2306333,BD_IT-04
2306344,BD_IT-04
2306360,BD_IT-04
2306366,BD_IT-04
2306367,BD_IT-04
2306373,BD_IT-04
2306377,BD_IT-04
2306385,BD_IT-04
2306389,BD_IT-04
2306394,BD_IT-04
2306408,BD_IT-04
2406601,BD_IT-04
2406604,BD_IT-04
2406605,BD_IT-04
2306005,BD_IT-05
2306011,BD_IT-05
2306017,BD_IT-05
2306019,BD_IT-05
2306020,BD_IT-05
2306024,BD_IT-05
2306025,BD_IT-05
2306026,BD_IT-05
2306027,BD_IT-05
2306028,BD_IT-05
2306032,BD_IT-05
2306037,BD_IT-05
2306038,BD_IT-05
2306039,BD_IT-05
2306043,BD_IT-05
2306051,BD_IT-05
2306055,BD_IT-05
2306066,BD_IT-05
2306072,BD_IT-05
2306073,BD_IT-05
2306098,BD_IT-05
2306132,BD_IT-05
2306136,BD_IT-05
2306139,BD_IT-05
2306150,BD_IT-05
2306153,BD_IT-05
2306156,BD_IT-05
2306158,BD_IT-05
2306167,BD_IT-05
2306169,BD_IT-05
2306171,BD_IT-05
2306172,BD_IT-05
2306180,BD_IT-05
2306191,BD_IT-05
2306192,BD_IT-05
2306193,BD_IT-05
2306202,BD_IT-05
2306207,BD_IT-05
2306208,BD_IT-05
2306223,BD_IT-05
2306246,BD_IT-05
2306252,BD_IT-05
2306259,BD_IT-05
2306274,BD_IT-05
2306275,BD_IT-05
2306280,BD_IT-05
2306284,BD_IT-05
2306285,BD_IT-05
2306286,BD_IT-05
2306296,BD_IT-05
2306297,BD_IT-05
2306299,BD_IT-05
2306303,BD_IT-05
2306309,BD_IT-05
2306311,BD_IT-05
2306319,BD_IT-05
2306325,BD_IT-05
2306329,BD_IT-05
2306330,BD_IT-05
2306335,BD_IT-05
2306354,BD_IT-05
2306355,BD_IT-05
2306365,BD_IT-05
2306368,BD_IT-05
2306369,BD_IT-05
2306371,BD_IT-05
2306375,BD_IT-05
2306379,BD_IT-05
