Roll Number,Section,,,,,,
2306138,AI_IT-03,,,,,,
2306142,AI_IT-03,,,,,,
2306162,AI_IT-03,,,,,,
2306165,AI_IT-03,,,,,,
2306166,AI_IT-03,,,,,,
2306169,AI_IT-03,,,,,,
2306191,AI_IT-03,,,,,,
2306195,AI_IT-03,,,,,,
2306197,AI_IT-03,,,,,,
2306204,AI_IT-03,,,,,,
2306209,AI_IT-03,,,,,,
2306214,AI_IT-03,,,,,,
2306215,AI_IT-03,,,,,,
2306221,AI_IT-03,,,,,,
2306228,AI_IT-03,,,,,,
2306229,AI_IT-03,,,,,,
2306232,AI_IT-03,,,,,,
2306238,AI_IT-03,,,,,,
2306239,AI_IT-03,,,,,,
2306251,AI_IT-03,,,,,,
2306257,AI_IT-03,,,,,,
2306268,AI_IT-03,,,,,,
2306269,AI_IT-03,,,,,,
2306272,AI_IT-03,,,,,,
2306279,AI_IT-03,,,,,,
2306281,AI_IT-03,,,,,,
2306291,AI_IT-03,,,,,,
2306301,AI_IT-03,,,,,,
2306304,AI_IT-03,,,,,,
2306305,AI_IT-03,,,,,,
2306306,AI_IT-03,,,,,,
2306309,AI_IT-03,,,,,,
2306312,AI_IT-03,,,,,,
2306332,AI_IT-03,,,,,,
2306334,AI_IT-03,,,,,,
2306336,AI_IT-03,,,,,,
2306337,AI_IT-03,,,,,,
2306338,AI_IT-03,,,,,,
2306340,AI_IT-03,,,,,,
2306345,AI_IT-03,,,,,,
2306349,AI_IT-03,,,,,,
2306353,AI_IT-03,,,,,,
2306357,AI_IT-03,,,,,,
2306359,AI_IT-03,,,,,,
2306367,AI_IT-03,,,,,,
2306372,AI_IT-03,,,,,,
2306388,AI_IT-03,,,,,,
2306393,AI_IT-03,,,,,,
2306403,AI_IT-03,,,,,,
2306005,AI_IT-04,,,,,,
2306014,AI_IT-04,,,,,,
2306021,AI_IT-04,,,,,,
2306024,AI_IT-04,,,,,,
2306031,AI_IT-04,,,,,,
2306046,AI_IT-04,,,,,,
2306066,AI_IT-04,,,,,,
2306070,AI_IT-04,,,,,,
2306091,AI_IT-04,,,,,,
2306093,AI_IT-04,,,,,,
2306100,AI_IT-04,,,,,,
2306117,AI_IT-04,,,,,,
2306133,AI_IT-04,,,,,,
2306134,AI_IT-04,,,,,,
2306136,AI_IT-04,,,,,,
2306137,AI_IT-04,,,,,,
2306141,AI_IT-04,,,,,,
2306143,AI_IT-04,,,,,,
2306145,AI_IT-04,,,,,,
2306156,AI_IT-04,,,,,,
2306161,AI_IT-04,,,,,,
2306171,AI_IT-04,,,,,,
2306177,AI_IT-04,,,,,,
2306178,AI_IT-04,,,,,,
2306186,AI_IT-04,,,,,,
2306193,AI_IT-04,,,,,,
2306194,AI_IT-04,,,,,,
2306196,AI_IT-04,,,,,,
2306200,AI_IT-04,,,,,,
2306202,AI_IT-04,,,,,,
2306205,AI_IT-04,,,,,,
2306206,AI_IT-04,,,,,,
2306216,AI_IT-04,,,,,,
2306218,AI_IT-04,,,,,,
2306219,AI_IT-04,,,,,,
2306230,AI_IT-04,,,,,,
2306243,AI_IT-04,,,,,,
2306245,AI_IT-04,,,,,,
2306249,AI_IT-04,,,,,,
2306253,AI_IT-04,,,,,,
2306263,AI_IT-04,,,,,,
