Roll Number,Section
23051130,CSE-02
23051261,CSE-02
23051364,CSE-02
23051429,CSE-02
23051442,CSE-02
23051474,CSE-02
23051506,CSE-02
23051532,CSE-02
23051693,CSE-02
23051699,CSE-02
23052004,CSE-02
23052080,CSE-02
23052093,CSE-02
23052095,CSE-02
23052096,CSE-02
23052097,CSE-02
23052112,CSE-02
23052118,CSE-02
23052150,CSE-02
23052155,CSE-02
23052180,CSE-02
23052183,CSE-02
23052220,CSE-02
23052243,CSE-02
23052250,CSE-02
23052298,CSE-02
23052536,CSE-02
23052538,CSE-02
23052549,CSE-02
23052719,CSE-02
23052863,CSE-02
23052897,CSE-02
23052899,CSE-02
23052904,CSE-02
23052910,CSE-02
23053026,CSE-02
23053088,CSE-02
23053125,CSE-02
23053157,CSE-02
23053164,CSE-02
23053212,CSE-02
23053243,CSE-02
23053429,CSE-02
23053470,CSE-02
23053496,CSE-02
23053621,CSE-02
23053669,CSE-02
23053676,CSE-02
23053798,CSE-02
24057043,CSE-02
2305219,CSE-03
2305301,CSE-03
2305314,CSE-03
2305321,CSE-03
2305330,CSE-03
2305376,CSE-03
2305395,CSE-03
2305428,CSE-03
2305431,CSE-03
2305442,CSE-03
2305452,CSE-03
2305459,CSE-03
2305461,CSE-03
2305466,CSE-03
2305503,CSE-03
2305523,CSE-03
2305535,CSE-03
2305646,CSE-03
2305818,CSE-03
2305826,CSE-03
2305951,CSE-03
2305978,CSE-03
23051075,CSE-03
23051103,CSE-03
23051121,CSE-03
23051241,CSE-03
23051248,CSE-03
23051331,CSE-03
23051362,CSE-03
23051439,CSE-03
23051445,CSE-03
23051486,CSE-03
23051547,CSE-03
23051587,CSE-03
23051614,CSE-03
23051723,CSE-03
23051752,CSE-03
23051959,CSE-03
23051981,CSE-03
23051991,CSE-03
23051999,CSE-03
23052024,CSE-03
23052057,CSE-03
23052088,CSE-03
23052116,CSE-03
23052160,CSE-03
23052211,CSE-03
23052229,CSE-03
23052247,CSE-03
23052252,CSE-03
23052268,CSE-03
23052380,CSE-03
23052412,CSE-03
23052456,CSE-03
23052546,CSE-03
23052846,CSE-03
23052879,CSE-03
23052909,CSE-03
23052980,CSE-03
23053062,CSE-03
23053111,CSE-03
23053160,CSE-03
23053263,CSE-03
23053340,CSE-03
23053353,CSE-03
23053360,CSE-03
23053452,CSE-03
23053456,CSE-03
23053465,CSE-03
23053471,CSE-03
23053516,CSE-03
23053640,CSE-03
23053708,CSE-03
23053840,CSE-03
23053932,CSE-03
24057009,CSE-03
24057080,CSE-03
24057109,CSE-03
2305088,CSE-04
2305109,CSE-04
2305110,CSE-04
2305112,CSE-04
2305113,CSE-04
2305140,CSE-04
2305155,CSE-04
2305172,CSE-04
2305177,CSE-04
2305180,CSE-04
2305185,CSE-04
2305187,CSE-04
2305198,CSE-04
2305201,CSE-04
2305286,CSE-04
2305436,CSE-04
2305444,CSE-04
2305447,CSE-04
2305602,CSE-04
2305670,CSE-04
2305754,CSE-04
2305763,CSE-04
2305784,CSE-04
2305849,CSE-04
2305879,CSE-04
2305891,CSE-04
2305993,CSE-04
2305996,CSE-04
23051059,CSE-04
23051082,CSE-04
23051108,CSE-04
23051239,CSE-04
23051300,CSE-04
23051321,CSE-04
23051358,CSE-04
23051370,CSE-04
23051452,CSE-04
23051565,CSE-04
23051572,CSE-04
23051810,CSE-04
23051818,CSE-04
23051824,CSE-04
23051826,CSE-04
23051841,CSE-04
23051842,CSE-04
23051881,CSE-04
23052067,CSE-04
23052090,CSE-04
23052113,CSE-04
23052133,CSE-04
23052448,CSE-04
23052480,CSE-04
23052481,CSE-04
23052559,CSE-04
23052581,CSE-04
23052649,CSE-04
23052844,CSE-04
23052861,CSE-04
23052933,CSE-04
23053031,CSE-04
23053110,CSE-04
23053166,CSE-04
23053314,CSE-04
23053316,CSE-04
23053344,CSE-04
23053378,CSE-04
23053379,CSE-04
23053558,CSE-04
23053563,CSE-04
23053567,CSE-04
23053607,CSE-04
23053629,CSE-04
23053668,CSE-04
23053691,CSE-04
23053769,CSE-04
23053842,CSE-04
23053852,CSE-04
23053892,CSE-04
2305072,CSE-05
2305165,CSE-05
2305169,CSE-05
2305223,CSE-05
2305292,CSE-05
2305315,CSE-05
2305316,CSE-05
2305326,CSE-05
2305387,CSE-05
2305403,CSE-05
2305495,CSE-05
2305500,CSE-05
2305556,CSE-05
2305591,CSE-05
2305593,CSE-05
2305672,CSE-05
2305678,CSE-05
2305735,CSE-05
2305777,CSE-05
2305981,CSE-05
23051002,CSE-05
23051070,CSE-05
23051233,CSE-05
23051272,CSE-05
23051282,CSE-05
23051390,CSE-05
23051418,CSE-05
23051446,CSE-05
23051479,CSE-05
23051488,CSE-05
23051518,CSE-05
23051708,CSE-05
23051732,CSE-05
23051756,CSE-05
23051761,CSE-05
23051915,CSE-05
23051995,CSE-05
23052410,CSE-05
23052426,CSE-05
23052533,CSE-05
23052534,CSE-05
23052540,CSE-05
23052560,CSE-05
23052569,CSE-05
23052572,CSE-05
23052579,CSE-05
23052621,CSE-05
23052642,CSE-05
23052660,CSE-05
23052679,CSE-05
23052726,CSE-05
23052763,CSE-05
23052774,CSE-05
23052862,CSE-05
23052885,CSE-05
23052950,CSE-05
23053011,CSE-05
23053071,CSE-05
23053124,CSE-05
23053130,CSE-05
23053147,CSE-05
23053159,CSE-05
23053231,CSE-05
23053240,CSE-05
23053281,CSE-05
23053291,CSE-05
23053328,CSE-05
23053365,CSE-05
23053549,CSE-05
23053553,CSE-05
23053604,CSE-05
23053627,CSE-05
23053735,CSE-05
23053858,CSE-05
23053917,CSE-05
23053927,CSE-05
24057056,CSE-05
24057093,CSE-05
2305086,CSE-06
2305124,CSE-06
2305242,CSE-06
2305324,CSE-06
2305373,CSE-06
2305388,CSE-06
2305534,CSE-06
2305548,CSE-06
2305550,CSE-06
2305567,CSE-06
2305607,CSE-06
2305783,CSE-06
2305816,CSE-06
2305866,CSE-06
2305888,CSE-06
23051024,CSE-06
23051030,CSE-06
23051035,CSE-06
23051087,CSE-06
23051088,CSE-06
23051099,CSE-06
23051110,CSE-06
23051127,CSE-06
23051171,CSE-06
23051250,CSE-06
23051319,CSE-06
23051601,CSE-06
23051642,CSE-06
23051649,CSE-06
23051655,CSE-06
23051785,CSE-06
23051815,CSE-06
23051838,CSE-06
23051911,CSE-06
23051951,CSE-06
23051978,CSE-06
23052290,CSE-06
23052295,CSE-06
23052562,CSE-06
23052584,CSE-06
23052613,CSE-06
23052614,CSE-06
23052615,CSE-06
23052640,CSE-06
23052656,CSE-06
23052664,CSE-06
23052673,CSE-06
23052691,CSE-06
23052696,CSE-06
23052722,CSE-06
23052741,CSE-06
23052901,CSE-06
23052906,CSE-06
23052914,CSE-06
23053020,CSE-06
23053022,CSE-06
23053033,CSE-06
23053060,CSE-06
23053073,CSE-06
23053078,CSE-06
23053080,CSE-06
23053081,CSE-06
23053139,CSE-06
23053142,CSE-06
23053285,CSE-06
23053347,CSE-06
23053375,CSE-06
23053380,CSE-06
23053388,CSE-06
23053394,CSE-06
23053529,CSE-06
23053561,CSE-06
23053681,CSE-06
23053685,CSE-06
23053758,CSE-06
2305353,CSE-07
2305417,CSE-07
2305440,CSE-07
2305574,CSE-07
2305597,CSE-07
2305605,CSE-07
2305612,CSE-07
2305636,CSE-07
2305669,CSE-07
2305675,CSE-07
2305677,CSE-07
2305690,CSE-07
2305730,CSE-07
2305746,CSE-07
2305782,CSE-07
2305798,CSE-07
2305815,CSE-07
2305823,CSE-07
2305829,CSE-07
2305935,CSE-07
2305959,CSE-07
2305987,CSE-07
23051133,CSE-07
23051144,CSE-07
23051195,CSE-07
23051269,CSE-07
23051273,CSE-07
23051275,CSE-07
23051289,CSE-07
23051408,CSE-07
23051477,CSE-07
23051803,CSE-07
23051805,CSE-07
23051816,CSE-07
23051827,CSE-07
23051880,CSE-07
23052040,CSE-07
23052167,CSE-07
23052185,CSE-07
23052187,CSE-07
23052280,CSE-07
23052299,CSE-07
23052324,CSE-07
23052363,CSE-07
23052366,CSE-07
23052443,CSE-07
23052466,CSE-07
23052652,CSE-07
23052653,CSE-07
23052668,CSE-07
23052698,CSE-07
23052725,CSE-07
23052739,CSE-07
23052742,CSE-07
23052761,CSE-07
23052781,CSE-07
23052792,CSE-07
23052793,CSE-07
23052794,CSE-07
23052795,CSE-07
23052849,CSE-07
23052948,CSE-07
23052967,CSE-07
23052972,CSE-07
23053004,CSE-07
23053012,CSE-07
23053015,CSE-07
23053224,CSE-07
23053244,CSE-07
23053304,CSE-07
23053377,CSE-07
23053397,CSE-07
